area_type,availability,location,size,society,total_sqft,bath,balcony,price,latitude,longitude
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Mavelr ,900,3,2,62,13.0170955,77.4829741
Super built-up  Area,Ready To Move,Harlur,4 BHK,Prtanha,987,4,2,245,12.9058923,77.675465
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Prncyrn,1720,2,1,85,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Malleshwaram,4 BHK,Haestt ,1040,2,2,270,13.0027353,77.5703253
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,SrntsRV,1030,3,1,95,13.0351224,77.631944
Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Koagati,2556,5,1,49,13.0082277,77.6941931
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Brglede,1850,2,0,100,13.0382184,77.5919
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Ratlet ,1270,2,2,50,12.932582,77.5162034
Built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,Neess P,1050,3,1,50,12.8414612,77.6479661
Super built-up  Area,Ready To Move,Basavangudi,3 BHK,GeereEc,946,2,2,133,12.9421868,77.5742576
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,KuisePa,1726,3,1,168,12.9136133,77.595695
Super built-up  Area,Ready To Move,Domlur,2 BHK,BriumMi,2121,4,1,83,12.9624669,77.6381958
Super built-up  Area,Ready To Move,Vishwapriya Nagar,2 BHK,IBictnd,1404,3,2,85,12.9382027,77.5235528
Super built-up  Area,18-Apr,CV Raman Nagar,2 BHK,Aaniaa ,4800,2,2,38,12.9850987,77.6631173
Built-up  Area,Ready To Move,Sarakki Nagar,3 BHK,VeSkyva,1040,2,2,145,12.9164567,77.5859615
Super built-up  Area,Ready To Move,Vittasandra,3 BHK,Sowerew,1310,3,2,253,12.8654221,77.6295788
Super built-up  Area,Ready To Move,Kengeri,2 BHK,Prlla C,1788,3,1,75,12.9176571,77.4837568
Built-up  Area,Ready To Move,R.T. Nagar,4 BHK,Diaste ,1144,3,2,629,13.0333764,77.5886107
Super built-up  Area,Ready To Move,Banashankari,2 BHK,Dhows M,1646,4,2,46,12.9278196,77.556621
Super built-up  Area,18-May,Uttarahalli,2 BHK,Bregae ,1995,4,2,80,12.9055682,77.5455438
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Baveles,1085,2,2,98.34,12.932582,77.5162034
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,GrrvaGr,1139,2,3,38.55,12.9047595,77.6759172
Super built-up  Area,19-Mar,Sarjapur  Road,3 BHK,Oca 2 V,1767,2,1,79.5,12.9239386,77.6396966
Super built-up  Area,18-Dec,Hosakerehalli,3 BHK,DNionfl,1692,3,1,135,12.9301881,77.5378332
Super built-up  Area,18-Dec,Budigere,2 BHK,Maunt M,1345,2,1,47.74,13.1351506,77.7471989
Super built-up  Area,Ready To Move,Pattandur Agrahara,2 BHK,PrityTr,1408,6,2,56.8,12.9876393,77.7377718
Super built-up  Area,Ready To Move,Bellandur,3 BHK,MaidoPl,6040,2,3,98,12.9361208,77.6671843
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Maonsrn,2072,3,2,88,12.9055682,77.5455438
Super built-up  Area,Ready To Move,Basapura,3 BHK,Aklia R,1420,1,3,57,12.8686664,77.6441741
Super built-up  Area,Ready To Move,Bileshivale,3 BHK,Mauner ,1063,2,2,62,13.0543306,77.6710224
Plot  Area,Ready To Move,Thigalarapalya,5 BHK,LGDewke,1430,1,3,170,13.0170955,77.4829741
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Prtanha,1760,3,1,150,13.0027353,77.5703253
Super built-up  Area,Ready To Move,Hosa Road,2 BHK,Maens G,2010,2,1,158,12.8816077,77.6448181
Super built-up  Area,18-May,Thanisandra,2 BHK,SStusan,1480,3,0,31.9,13.054713,77.6339258
Super built-up  Area,Ready To Move,Sector 7 HSR Layout,3 BHK,MenueNo,4850,2,2,56,12.9105609,77.6271039
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Saitya ,1100,2,1,145,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Suent V,1752.12,2,1,92,12.8856913,77.5526564
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,Wiowsri,790.5,2,1,64.23,12.9975851,77.6136744
Super built-up  Area,Ready To Move,Singasandra,4 BHK,Meentan,1942,3,2,385,12.8810223,77.6490068
Super built-up  Area,Ready To Move,Harlur,2 BHK,GRe 2iv,1000,6,0,52,12.9058923,77.675465
Super built-up  Area,Ready To Move,Balagere,3 BHK,SosicCl,668,2,2,116,12.9377243,77.7280705
Super built-up  Area,20-Jan,Hennur Gardens,1 BHK,Soresea,1800,2,2,41.9,13.0376905,77.6432902
Built-up  Area,Ready To Move,Ashirvad Colony,3 BHK,PlhtsHe,1036,2,3,102,12.9398513,77.5740326
Built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,Swhtsna,1583,4,1,53,13.0176937,77.5555009
Super built-up  Area,Ready To Move,Thanisandra,1 BHK,IBityin,1100,3,1,36.85,13.054713,77.6339258
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,R ra  R,1246,2,1,90,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Pyikad ,850,4,2,39.35,12.9552572,77.6984163
Super built-up  Area,Ready To Move,Padmanabhanagar,3 BHK,PueraRi,1196,3,2,105,12.9181023,77.5576638
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Bhise P,1697,5,2,65,12.8654221,77.6295788
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,Prlla C,1022,3,1,65,12.9686859,77.6966093
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,SaisePa,1018,3,1,28,12.932582,77.5162034
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,GrrvaGr,1322,2,2,51.51,13.054713,77.6339258
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Soitya ,1800,1,2,114,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,Vidil D,2400,4,2,52,13.079198,77.7136366
Super built-up  Area,Ready To Move,Bharathi Nagar,2 BHK,PaigeMa,1635,2,1,23.45,12.9891582,77.6117355
Super built-up  Area,Ready To Move,Marsur,2 BHK,FoapeWa,3526,2,2,68,12.7678915,77.7043732
Plot  Area,Ready To Move,Cambridge Layout,4 BHK,AreraRe,2770,3,2,145,12.9701231,77.6277757
Built-up  Area,Ready To Move,Whitefield,3 BHK,Sancybr,3035,2,3,260,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Lallere,1533,2,2,85,12.9945793,77.5503967
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,4 BHK,PhestOn,1720,2,1,558,12.9778951,77.5164792
Built-up  Area,Ready To Move,EPIP Zone,3 BHK,PeBayle,1185,3,1,460,12.9781922,77.7246451
Super built-up  Area,Ready To Move,Maragondanahalli,4 BHK,BrontLa,395,3,2,200,13.0376489,77.6922232
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,ArnzaFi,1031,2,2,85,13.0195427,77.6831272
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,Hiows C,2650,3,1,134,13.0176937,77.5555009
Super built-up  Area,18-Aug,Attibele,2 BHK,Aroomba,1330,2,1,75.84,12.7751249,77.7709216
Built-up  Area,Ready To Move,Electronic City Phase II,1 BHK,Jae 1hu,1259,1,2,10.25,12.8463512,77.6690975
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Brods W,1075,2,1,56.35,13.054713,77.6339258
Super built-up  Area,Ready To Move,Uttarahalli,4 BHK,G conTh,1216,2,3,240,12.9055682,77.5455438
Super built-up  Area,Ready To Move,Hennur,3 BHK,SLnssPr,1428,2,1,46.55,13.037077,77.6413572
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Exitym ,1475,3,1,57,12.932582,77.5162034
Built-up  Area,Ready To Move,Whitefield,3 BHK,Prityel,1804,2,2,36,12.9963995,77.7614229
Super built-up  Area,18-May,Sarjapur  Road,2 BHK,Prtates,1260,3,3,79,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Doddakannelli,3 BHK,Srisei ,2160,2,3,66,12.9115381,77.6934164
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SastyDy,1300,2,2,70,13.0351224,77.631944
Super built-up  Area,19-Mar,Begur Road,3 BHK,Puachal,845,3,1,102,12.8856188,77.6252418
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Dhalsh ,700,2,1,46.62,13.0351224,77.631944
Built-up  Area,Ready To Move,Yelahanka,3 BHK,Asadacy,1452.55,3,0,160,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Cox Town,2 BHK,Chara N,1139,1,2,65,12.9954832,77.6239259
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Prityel,1660,2,1,29,12.8856913,77.5526564
Super built-up  Area,21-Dec,Kaggadasapura,2 BHK,PrarePa,1448,2,1,35,12.9846713,77.6790908
Super built-up  Area,Ready To Move,Budigere,2 BHK,ElaleSp,1762,4,2,110,13.1351506,77.7471989
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,PrityTr,1105,4,3,56.85,12.8856913,77.5526564
Super built-up  Area,Ready To Move,Jayanagar,3 BHK,PuandHi,296,5,1,75,12.9292731,77.5824229
Super built-up  Area,Ready To Move,Kadugodi,2 BHK,Srhts P,1185,2,2,68,12.9957428,77.7579489
Super built-up  Area,18-May,Kaggadasapura,3 BHK,Alestrb,1320,2,2,110,12.9846713,77.6790908
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,SLireap,1058,3,2,38.65,13.1006982,77.5963454
Super built-up  Area,19-Dec,Thanisandra,1 BHK,Rosha I,1200,2,1,22.89,13.054713,77.6339258
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,MenueNo,1550,2,2,43,12.8463512,77.6690975
Built-up  Area,18-Aug,Hulimavu,3 BHK,Sryalan,2475,3,3,38.12,12.8773486,77.6028031
Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Suelsa ,3181,2,2,48,13.0082277,77.6941931
Super built-up  Area,18-May,Bannerghatta Road,2 BHK,Brglede,2503,2,3,72,12.9504037,77.6033713
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,SNity S,2524,2,2,78,12.9018012,77.6641767
Super built-up  Area,Ready To Move,Jakkur,3 BHK,NDionas,1045,2,1,130,13.0784743,77.6068938
Super built-up  Area,22-May,7th Phase JP Nagar,4 BHK,SoineC ,1290,3,1,260.5,12.9136133,77.595695
Super built-up  Area,19-Dec,Marathahalli,4 BHK,Puarero,1400,2,2,188,12.9552572,77.6984163
Super built-up  Area,Ready To Move,Jalahalli,4 BHK,Prionad,1680,2,2,190,13.0394104,77.5197351
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,Vaniai ,1634,3,1,76.77,12.875978,77.5441292
Super built-up  Area,Ready To Move,Hoodi,3 BHK,SPavenc,1352,2,1,45.15,12.9959233,77.7192796
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,SMaxyay,1145,3,2,78,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Mades G,2200,3,1,112,12.8856188,77.6252418
Super built-up  Area,19-Oct,Prithvi Layout,3 BHK,Pruthg ,1168,2,1,83.33,12.977178,77.7436455
Super built-up  Area,Ready To Move,Balagere,2 BHK,Prlmsge,1205,2,1,85,12.9377243,77.7280705
Super built-up  Area,17-Sep,7th Phase JP Nagar,2 BHK,HiqueMa,1195,2,0,65,12.9136133,77.595695
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,BriumMi,1550,2,2,190,12.932582,77.5162034
Super built-up  Area,18-Aug,Electronic City Phase II,2 BHK,Prllsan,1603,2,2,61,12.8463512,77.6690975
Super built-up  Area,18-Jul,Yeshwanthpur,2 BHK,SNbay G,1405,2,2,75,13.0176937,77.5555009
Super built-up  Area,Ready To Move,Pai Layout,2 BHK,Vatra N,1142,2,2,100,12.9820719,77.7480909
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Saent A,1870,2,2,90,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Malleshpalya,3 BHK,Niareum,1313,2,2,96,12.9744129,77.6743533
Built-up  Area,Ready To Move,KR Puram,3 BHK,MancyRe,1945,2,3,77,13.007516,77.695935
Super built-up  Area,Ready To Move,Whitefield,2 BHK,MCvarar,1573,2,3,51,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,Brony H,1255,5,2,90,12.8963963,77.5377864
Super built-up  Area,Ready To Move,Hennur Gardens,2 BHK,Chllsev,1380,2,1,73,13.0376905,77.6432902
Built-up  Area,Ready To Move,Thanisandra,3 BHK,PlhtsHe,1279,2,0,120,13.054713,77.6339258
Super built-up  Area,17-Jul,Sarjapur  Road,3 BHK,Bhmesy ,2526,5,2,95,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Mades G,3539.5,2,2,92,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Shthi S,1360,2,1,52,12.9055682,77.5455438
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Sagnage,1260,2,1,48,13.0382184,77.5919
Super built-up  Area,19-Oct,Rajaji Nagar,3 BHK,SNontle,965,2,1,250,12.9945793,77.5503967
Super built-up  Area,Ready To Move,Uttarahalli,4 BHK,PhestOn,1447,1,2,424.5,12.9055682,77.5455438
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Puodse ,1153,2,2,59.27,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Dasanapura,2 BHK,Sancya ,2856,3,2,49.5,12.7467724,77.7742876
Built-up  Area,Ready To Move,Hoodi,2 BHK,Tavenew,1030,2,2,42.5,12.9959233,77.7192796
Super built-up  Area,18-Jul,Gottigere,2 BHK,Rosha I,4000,3,1,75.97,12.8565317,77.5877237
Super built-up  Area,Ready To Move,Whitefield,2 BHK,M denGa,1410,2,2,48.5,12.9963995,77.7614229
Super built-up  Area,18-Dec,Malleshpalya,4 BHK,Prtates,1055,3,2,145.5,12.9744129,77.6743533
Built-up  Area,Ready To Move,Marathahalli,2 BHK,Skarkev,1304,2,1,61,12.9552572,77.6984163
Super built-up  Area,Ready To Move,Begur Road,4 BHK,PueraRi,990,3,2,212,12.8856188,77.6252418
Super built-up  Area,Ready To Move,Varthur,3 BHK,Dhalsh ,700,2,2,44.42,12.9406508,77.746988
Super built-up  Area,20-Dec,Yelahanka,2 BHK,Myple M,1300,3,1,45.35,13.1006982,77.5963454
Super built-up  Area,18-May,Kammasandra,2 BHK,Prensya,1239,2,2,79,13.079198,77.7136366
Built-up  Area,Ready To Move,Tumkur Road,2 BHK,Puitea ,1403,2,1,31.5,13.0184718,77.5577542
Super built-up  Area,21-Jun,Haralur Road,1 BHK,Coowsri,1365,3,2,30.09,12.9018012,77.6641767
Super built-up  Area,Ready To Move,Tumkur Road,2 BHK,NDionas,1165,3,2,73,13.0184718,77.5577542
Super built-up  Area,21-Jan,Sarjapur  Road,2 BHK,Sapus S,1776.42,3,1,82,12.9239386,77.6396966
Super built-up  Area,19-Dec,Hosa Road,3 BHK,Daivon ,1107,4,1,51.63,12.8816077,77.6448181
Super built-up  Area,Ready To Move,8th block Koramangala,2 BHK,Sosisic,1520,2,0,92,12.9287596,77.6287122
Super built-up  Area,Ready To Move,Green Glen Layout,2 BHK,Sid 2ss,1536,2,2,135,12.9269039,77.6701877
Super built-up  Area,Ready To Move,Bidadi,3 BHK,Solia D,1050,9,1,105,12.8861649,77.5822896
Super built-up  Area,Ready To Move,Nallurhalli,2 BHK,Etuney ,1112,2,1,33,12.9766408,77.7248845
Super built-up  Area,Ready To Move,Kannamangala,3 BHK,DNtonri,1250,2,1,80,13.0155506,77.7630344
Super built-up  Area,19-Jul,Belathur,3 BHK,Sonue A,1187,2,1,89,13.0040142,77.757116
Super built-up  Area,Ready To Move,Hoodi,2 BHK,Viiniai,1395,2,1,38,12.9959233,77.7192796
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Diisein,2072,3,2,62,12.9136133,77.595695
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,JDensar,1450,2,3,65,12.8658068,77.5911918
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,CSvelMa,1550,2,2,52,12.8463512,77.6690975
Super built-up  Area,18-May,Arekere,3 BHK,SNbay G,3067,2,2,62.78,12.8872086,77.5960493
Super built-up  Area,18-Jul,Kanakpura Road,3 BHK,RRnumn ,1075,2,1,108,12.8856913,77.5526564
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,JRrnauv,11338,2,0,60.91,12.9504037,77.6033713
Super built-up  Area,Ready To Move,Hebbal,3 BHK,SNity S,1470,2,2,82,13.0382184,77.5919
Super built-up  Area,19-Dec,Amruthnagar,4 BHK,SNontle,1590,2,2,230,13.0569904,77.5981092
Super built-up  Area,Ready To Move,Sathya Sai Layout,3 BHK,Prityel,1050,2,0,47,12.989889,77.7186215
Super built-up  Area,Ready To Move,Kaggadasapura,6 BHK,Prowshi,1306,3,1,1000,12.9846713,77.6790908
Built-up  Area,Ready To Move,Hosur Road,3 BHK,Prmesad,2000,3,3,75,12.9193621,77.6214458
Built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Saageat,3190,2,2,125,12.8856913,77.5526564
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Shdhia ,1215,2,1,36.75,12.932582,77.5162034
Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,GrrvaGr,1920,2,2,55.91,13.0027353,77.5703253
Built-up  Area,Ready To Move,Sarjapur,3 BHK,Maens G,1196,2,1,250,12.9116225,77.6388622
Plot  Area,Ready To Move,Ramagondanahalli,4 BHK,Puodsm ,1550,2,2,160,12.9558969,77.7405826
Super built-up  Area,18-May,Budigere,2 BHK,ViistLa,1418,2,0,51.26,13.1351506,77.7471989
Built-up  Area,Ready To Move,Hoodi,3 BHK,PrityTr,1115,2,2,88,12.9959233,77.7192796
Super built-up  Area,21-Jul,Bannerghatta Road,2 BHK,GoAirej,1170,5,1,71.74,12.9504037,77.6033713
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Siaraa ,1035,1,3,75,13.0170955,77.4829741
Super built-up  Area,Ready To Move,KR Puram,2 BHK,Prtanha,750,3,2,101,13.007516,77.695935
Built-up  Area,Ready To Move,Rajiv Gandhi Nagar,2 BHK,SancyRe,1917,2,2,33.45,13.0702555,77.5838453
Super built-up  Area,Ready To Move,Anekal,2 BHK,NCiteEl,1615,3,3,68,12.7757576,77.6344365
Super built-up  Area,Ready To Move,Kengeri,2 BHK,Sraveks,1325,2,2,38.3,12.9176571,77.4837568
Super built-up  Area,18-Dec,Thanisandra,2 BHK,VBn 2lm,1246,2,3,22,13.054713,77.6339258
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Bhmesy ,1200,2,1,122,12.9846713,77.6790908
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Frowsru,1175,3,1,58,12.9357366,77.624081
Super built-up  Area,Ready To Move,Tumkur Road,2 BHK,Suryais,920,3,2,119,13.0184718,77.5577542
Super built-up  Area,21-Jan,Sarjapur,2 BHK,Sapus S,955,4,1,82,12.9116225,77.6388622
Super built-up  Area,Ready To Move,Hormavu,2 BHK,Shyas S,1750,2,1,60,13.016672,77.6548126
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Nadhian,1425,1,2,52,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Hosakerehalli,2 BHK,SrireSo,2150,3,2,63,12.9301881,77.5378332
Built-up  Area,Ready To Move,Ardendale,2 BHK,Prineth,1050,2,2,34.01,13.0261316,77.7664705
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,SoystAm,1370,3,2,100,12.9055682,77.5455438
Super built-up  Area,Ready To Move,Basavangudi,3 BHK,Suitea ,1374,3,2,64,12.9421868,77.5742576
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Brsic C,1754,2,2,265,12.9846713,77.6790908
Super built-up  Area,Ready To Move,Cholanayakanahalli,2 BHK,Maidei ,1847,2,2,48,13.0364498,77.5975272
Super built-up  Area,Ready To Move,Electronic City,3 BHK,ShourSp,1850,2,1,75,12.8487599,77.648253
Super built-up  Area,18-Apr,Harlur,3 BHK,Prarkun,3297,2,2,72,12.9058923,77.675465
Super built-up  Area,Ready To Move,Kothanur,3 BHK,SosicCl,1187,4,1,124,13.0613601,77.6493895
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,Somumys,3000,2,2,110,12.9490851,77.6184873
Super built-up  Area,Ready To Move,Chikka Tirupathi,3 BHK,SoechHa,693,3,2,139,12.8957681,77.8671014
Plot  Area,18-May,Doddakannelli,3 BHK,Theanmp,1980,2,0,135,12.9115381,77.6934164
Super built-up  Area,Ready To Move,Doddaballapur,2 BHK,BMtusLo,1021,2,2,45,13.2929583,77.5431463
Plot  Area,Ready To Move,Thanisandra,3 BHK,Raourpl,1165,1,1,120,13.054713,77.6339258
Super built-up  Area,21-Dec,Dairy Circle,1 BHK,Bhe 2ko,1756,4,1,34.3,12.9356855,77.6012737
Super built-up  Area,21-May,KR Puram,3 BHK,Soeurri,1739,3,1,224,13.007516,77.695935
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Saavem ,950,2,2,48,13.0170955,77.4829741
Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,Prtanha,1080,4,2,95,13.0367725,77.6549479
Super built-up  Area,19-Mar,Bharathi Nagar,3 BHK,Prhar G,1100,2,2,92,12.9891582,77.6117355
Super built-up  Area,Ready To Move,Varthur,3 BHK,FoapeWa,3200,3,2,105,12.9406508,77.746988
Super built-up  Area,18-Apr,Devanahalli,2 BHK,Sadhii ,1311,2,1,46.5,13.2483502,77.7134377
Super built-up  Area,Ready To Move,Arekere,2 BHK,Cerdsga,1608,2,1,53.35,12.8872086,77.5960493
Super built-up  Area,Ready To Move,Ardendale,2 BHK,Maierr ,1170,1,2,55,13.0261316,77.7664705
Plot  Area,Ready To Move,Sarjapur  Road,4 BHK,Aling10,1255,3,3,205,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,PraleSi,674,3,1,78,12.932582,77.5162034
Super built-up  Area,Ready To Move,Whitefield,3 BHK,GrrvaGr,2257,3,2,67.98,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Veitaus,1530,2,2,71,13.0382184,77.5919
Super built-up  Area,18-Dec,Neeladri Nagar,3 BHK,Magiaya,1575,2,2,77.68,12.8414612,77.6479661
Super built-up  Area,Ready To Move,Ramagondanahalli,1 BHK,Guenoa ,3500,2,2,21,12.9558969,77.7405826
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,DNeremo,1263,2,1,157,12.932582,77.5162034
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1559,3,2,51.87,12.932582,77.5162034
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,Tentsw ,1043,2,2,78,12.9975851,77.6136744
Built-up  Area,Ready To Move,Rajiv Nagar,3 BHK,Nanorkr,1255,3,1,330,13.0189644,77.5443026
Super built-up  Area,Ready To Move,KR Puram,2 BHK,Ahntyve,1352.5,2,1,93.32,13.007516,77.695935
Super built-up  Area,Ready To Move,Kengeri Satellite Town,3 BHK,MCvarar,590,5,2,69.315,12.9229728,77.4842926
Super built-up  Area,Ready To Move,Hennur,2 BHK,MB-laan,1900,2,2,65,13.037077,77.6413572
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,Shateor,1455,2,3,53.5,12.9096941,77.5866067
Super built-up  Area,18-Mar,Chandapura,2 BHK,Shestut,1035,3,0,93.865,12.8009043,77.7114908
Super built-up  Area,18-Dec,Yelahanka,1 BHK,Siageal,1299,2,0,13.57,13.1006982,77.5963454
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,Jants V,1157,2,2,160,12.9104062,77.5951099
Super built-up  Area,20-Mar,KR Puram,3 BHK,Vaarech,1050,2,1,73.31,13.007516,77.695935
Built-up  Area,Ready To Move,Bellandur,2 BHK,Hivesdr,1850,2,1,40.5,12.9361208,77.6671843
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,OriewLa,1025,2,3,82,12.9239386,77.6396966
Super built-up  Area,18-Nov,Rachenahalli,3 BHK,AsastDe,1124,2,1,75,13.0588586,77.6232576
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,Sovar S,1012,1,1,52.5,12.9140788,77.6188862
Built-up  Area,Ready To Move,Sompura,3 BHK,SNe 2ev,4500,2,1,170,12.8778283,77.4972385
Built-up  Area,Ready To Move,Malleshwaram,3 BHK,Suiseit,871,4,1,37,13.0027353,77.5703253
Built-up  Area,Ready To Move,Balagere,2 BHK,SaeneSe,1020,3,2,80,12.9377243,77.7280705
Super built-up  Area,19-Dec,Giri Nagar,2 BHK,Soresea,1550,2,1,54.59,12.9168572,77.5860216
Super built-up  Area,Ready To Move,8th Phase JP Nagar,7 BHK,Bancyri,1410,3,1,250,12.9104062,77.5951099
Super built-up  Area,Ready To Move,Chinnapanahalli,2 BHK,i1rtsCo,3500,2,3,55,12.9679673,77.7044589
Built-up  Area,Ready To Move,Rachenahalli,2 BHK,Mae 2ow,1118,2,2,40,13.0588586,77.6232576
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,Sovar S,1098,1,2,73.5,13.0195427,77.6831272
Super built-up  Area,Ready To Move,Chikka Tirupathi,3 BHK,DLhtsnd,1145,2,2,80,12.8957681,77.8671014
Plot  Area,18-Dec,Whitefield,4 BHK,Theanmp,1051,2,2,150,12.9963995,77.7614229
Super built-up  Area,18-Apr,Thanisandra,2 BHK,Prtates,1478,3,2,75,13.054713,77.6339258
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Bhmesy ,645,3,2,68,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Balaji Gardens Layout,2 BHK,Trurea ,823,2,2,75,12.9674186,77.5997528
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,GSnts A,1991,2,1,33,13.0394104,77.5197351
Super built-up  Area,Ready To Move,Chandapura,2 BHK,Tahtsla,1745,2,1,125,12.8009043,77.7114908
Super built-up  Area,18-Aug,Hebbal,1 BHK,SunceEs,1450,1,2,16.45,13.0382184,77.5919
Carpet  Area,18-Dec,Budigere,2 BHK,Arcia S,1843,3,1,50.63,13.1351506,77.7471989
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,PrityTr,1132,3,3,100,12.8856635,77.5416809
Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,MauilTr,1375,2,3,115,12.91241,77.591056
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Sorta S,760,3,1,58,12.8856913,77.5526564
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Puestol,918,2,2,95.84,12.9846713,77.6790908
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Binorn ,1372,2,1,42,12.8773486,77.6028031
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,RatosAr,1728,3,1,80,13.054713,77.6339258
Super built-up  Area,Ready To Move,Jigani,1 BHK,Bhmesy ,2215,5,1,50.3,12.7756195,77.6324661
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,DLhtsan,1200,2,1,45,12.9116225,77.6388622
