sl_no,hospital_name,taluk,district,search_address,lat,lon
394,Geetha Hospital,Bengaluru North,Bengaluru Urban,"Geetha Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.035766,77.735262
395,Pooranima Hospital,Bengaluru North,Bengaluru Urban,"Pooranima Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.027773,77.595212
396,M.S.Ramaiah Memorial Hospital,Bengaluru North,Bengaluru Urban,"M.S.Ramaiah Memorial Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.09264,77.5854587
398,Apollo Hospitals Enterprises Ltd,Bengaluru North,Bengaluru Urban,"Apollo Hospitals Enterprises Ltd, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
400,Milann The Fertility Centre A Unit Of Bacc Healthcare Pvt Ltd,Bengaluru North,Bengaluru Urban,"Milann The Fertility Centre A Unit Of Bacc Healthcare Pvt Ltd, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9787383,77.6380265
401,Ashwini Hospital,Bengaluru North,Bengaluru Urban,"Ashwini Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.0118215,77.7644747
402,The Banglore Hospital,Bengaluru North,Bengaluru Urban,"The Banglore Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.937788,77.5799782
403,Ramakrishna Hospital Unit Three,Bengaluru North,Bengaluru Urban,"Ramakrishna Hospital Unit Three, Bengaluru North, Bengaluru Urban, Karnataka, India",12.854602,77.662676
404,Sagar Chandramma Hospital,Bengaluru North,Bengaluru Urban,"Sagar Chandramma Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9484614,77.574725
406,Shaker Nursing Home,Bengaluru North,Bengaluru Urban,"Shaker Nursing Home, Bengaluru North, Bengaluru Urban, Karnataka, India",13.007539,77.57106
407,N.R.R.Hospital,Bengaluru North,Bengaluru Urban,"N.R.R.Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.88379102,77.5467259
408,Fortis Hospital Ltd,Bengaluru North,Bengaluru Urban,"Fortis Hospital Ltd, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9598,77.511271
409,Smt.Shantha And Sri J.A.Narayanarao Foundation For Medical Sciences,Bengaluru North,Bengaluru Urban,"Smt.Shantha And Sri J.A.Narayanarao Foundation For Medical Sciences, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
410,H.K.Hospital,Bengaluru North,Bengaluru Urban,"H.K.Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.0267381,77.6394104
411,Bangalore Baptist Hospital,Bengaluru North,Bengaluru Urban,"Bangalore Baptist Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.0355313,77.5891529
412,Ramakrishna Hospital Unit Two,Bengaluru North,Bengaluru Urban,"Ramakrishna Hospital Unit Two, Bengaluru North, Bengaluru Urban, Karnataka, India",12.854602,77.662676
413,Mallige Medical Centre,Bengaluru North,Bengaluru Urban,"Mallige Medical Centre, Bengaluru North, Bengaluru Urban, Karnataka, India",12.937851,77.5571697
414,Rangadore Memorial Hospital,Bengaluru North,Bengaluru Urban,"Rangadore Memorial Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9497028,77.570145
416,East Point Hospital,Bengaluru North,Bengaluru Urban,"East Point Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.054031,77.717791
417,Maruthi Hospital,Bengaluru North,Bengaluru Urban,"Maruthi Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.967765,77.541292
418,Best Hospital,Bengaluru North,Bengaluru Urban,"Best Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.0267381,77.6394104
419,Shshrusha Hospital,Bengaluru North,Bengaluru Urban,"Shshrusha Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.0267381,77.6394104
420,Life Care Hospital,Bengaluru North,Bengaluru Urban,"Life Care Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.919344,77.6128187
421,Horizon Hospital,Bengaluru North,Bengaluru Urban,"Horizon Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9753909,77.5358238
422,Eliya Prabha Maternity Centre,Bengaluru North,Bengaluru Urban,"Eliya Prabha Maternity Centre, Bengaluru North, Bengaluru Urban, Karnataka, India",13.007786,77.546941
423,Ss Hospital,Bengaluru North,Bengaluru Urban,"Ss Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.0267381,77.6394104
424,Apurva Mother And Child Hospital,Bengaluru North,Bengaluru Urban,"Apurva Mother And Child Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.008002,77.583742
425,Medi Hope Hospital And Research Center Pvt Ltd,Bengaluru North,Bengaluru Urban,"Medi Hope Hospital And Research Center Pvt Ltd, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9704689,77.5561925
426,Sakra World Hospital A Unit Of Tashasila Hospitals Operating Pvt Ltd,Bengaluru North,Bengaluru Urban,"Sakra World Hospital A Unit Of Tashasila Hospitals Operating Pvt Ltd, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
427,Fortis Hospital,Bengaluru North,Bengaluru Urban,"Fortis Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9882802,77.59433734
428,Bgs Gims Hospital,Bengaluru North,Bengaluru Urban,"Bgs Gims Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.0267381,77.6394104
429,Mother Hood Hospital,Bengaluru North,Bengaluru Urban,"Mother Hood Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.860475,77.780236
430,Arunodaya Hospital,Bengaluru North,Bengaluru Urban,"Arunodaya Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.0570019,77.5084612
431,Altius Hospital Pvt Ltd (Unit Of Ramesh Hospital),Bengaluru North,Bengaluru Urban,"Altius Hospital Pvt Ltd (Unit Of Ramesh Hospital), Bengaluru North, Bengaluru Urban, Karnataka, India",12.98483,77.5569
432,Rajarajeshwari Medical College And Hospital,Bengaluru North,Bengaluru Urban,"Rajarajeshwari Medical College And Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.844572,77.489674
433,K C Raju Multispecility Hospital,Bengaluru North,Bengaluru Urban,"K C Raju Multispecility Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9190968,77.6382137
434,Bore Gowda Lingamma Hospital,Bengaluru North,Bengaluru Urban,"Bore Gowda Lingamma Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.0168728,77.5394557
435,Comfort Diaganostic,Bengaluru North,Bengaluru Urban,"Comfort Diaganostic, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
436,Samastha Hospital Pvt Ltd,Bengaluru North,Bengaluru Urban,"Samastha Hospital Pvt Ltd, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8970015,77.5473403
437,Santosh Hospital,Bengaluru North,Bengaluru Urban,"Santosh Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.995934,77.608232
439,Sri Sai Health Care,Bengaluru North,Bengaluru Urban,"Sri Sai Health Care, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9059037,77.6840694
441,R R Hospital And Trama Center,Bengaluru North,Bengaluru Urban,"R R Hospital And Trama Center, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9073421,77.5714729
442,Agadi Hospital,Bengaluru North,Bengaluru Urban,"Agadi Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9492056,77.5976753
443,Telerad Rx Dx Health Care Pvt Ltd,Bengaluru North,Bengaluru Urban,"Telerad Rx Dx Health Care Pvt Ltd, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9226558,77.571882
444,Gayathri Diagnostics And Health Services,Bengaluru North,Bengaluru Urban,"Gayathri Diagnostics And Health Services, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
445,Gurushree Hi Teah Multi Speciality Hospital,Bengaluru North,Bengaluru Urban,"Gurushree Hi Teah Multi Speciality Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.959311,77.526506
446,Brindhavvan Areion Hospital,Bengaluru North,Bengaluru Urban,"Brindhavvan Areion Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
447,Bgs Global Hospital,Bengaluru North,Bengaluru Urban,"Bgs Global Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.902313,77.497746
448,Brinda Hospital,Bengaluru North,Bengaluru Urban,"Brinda Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9779862,77.511521
449,Unity Lifeline Hospital India Pvt Ltd,Bengaluru North,Bengaluru Urban,"Unity Lifeline Hospital India Pvt Ltd, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9819154,77.5109019
451,Kusuma,Bengaluru North,Bengaluru Urban,"Kusuma, Bengaluru North, Bengaluru Urban, Karnataka, India",12.93024801,77.56004949
452,Aaple Hospital,Bengaluru North,Bengaluru Urban,"Aaple Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.103959,77.583761
454,Veena Medical Centre,Bengaluru North,Bengaluru Urban,"Veena Medical Centre, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9988284,77.5551882
455,Sri Sri College Of Ayurvedic And Research Hospital,Bengaluru North,Bengaluru Urban,"Sri Sri College Of Ayurvedic And Research Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.822284,77.521075
456,Panacea Hospital,Bengaluru North,Bengaluru Urban,"Panacea Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9931396,77.5388412
457,Millann The Fertility Centre,Bengaluru North,Bengaluru Urban,"Millann The Fertility Centre, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9787383,77.6380265
458,Motherhood Hospital,Bengaluru North,Bengaluru Urban,"Motherhood Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.061631,77.592971
459,Family Hospital,Bengaluru North,Bengaluru Urban,"Family Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.0267381,77.6394104
461,Gynecare,Bengaluru North,Bengaluru Urban,"Gynecare, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
462,Mirror Health,Bengaluru North,Bengaluru Urban,"Mirror Health, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
463,Narayana Super Speciality Ltd,Bengaluru North,Bengaluru Urban,"Narayana Super Speciality Ltd, Bengaluru North, Bengaluru Urban, Karnataka, India",13.008544,77.568473
465,Bharathy Hospital,Bengaluru North,Bengaluru Urban,"Bharathy Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.0267381,77.6394104
467,Gby Maternity And Multispeciality Hospital,Bengaluru North,Bengaluru Urban,"Gby Maternity And Multispeciality Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9190968,77.6382137
468,Balaji Infertility And Gynaecology Center,Bengaluru North,Bengaluru Urban,"Balaji Infertility And Gynaecology Center, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
470,Ankur Health Care Vpvt Ltd,Bengaluru North,Bengaluru Urban,"Ankur Health Care Vpvt Ltd, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
471,Punya Hospitalas India Pvt Ltd,Bengaluru North,Bengaluru Urban,"Punya Hospitalas India Pvt Ltd, Bengaluru North, Bengaluru Urban, Karnataka, India",12.880792,77.645426
472,Sannati Speciality Hospital,Bengaluru North,Bengaluru Urban,"Sannati Speciality Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9555455,77.6417322
474,Banglore Medical And Surgical Center,Bengaluru North,Bengaluru Urban,"Banglore Medical And Surgical Center, Bengaluru North, Bengaluru Urban, Karnataka, India",13.027105,77.5780371
475,Ovum Hospital,Bengaluru North,Bengaluru Urban,"Ovum Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.0267381,77.6394104
476,Nandana Health Care,Bengaluru North,Bengaluru Urban,"Nandana Health Care, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9963264,77.5463857
477,Jayanagara General Hospital,Bengaluru North,Bengaluru Urban,"Jayanagara General Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9256776,77.593386
478,Eshwar Clinic,Bengaluru North,Bengaluru Urban,"Eshwar Clinic, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9209992,77.6116093
479,Lalitha Healthcare Pvt Ltd A Fortis Network Hospital,Bengaluru North,Bengaluru Urban,"Lalitha Healthcare Pvt Ltd A Fortis Network Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
480,Fortis La Famme Centre For Women,Bengaluru North,Bengaluru Urban,"Fortis La Famme Centre For Women, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
481,Ganga Speciality Hospital Anekal Pvt Ltd,Bengaluru North,Bengaluru Urban,"Ganga Speciality Hospital Anekal Pvt Ltd, Bengaluru North, Bengaluru Urban, Karnataka, India",12.709624,77.701376
482,Deepashri Hospital,Bengaluru North,Bengaluru Urban,"Deepashri Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.93252181,77.55026638
483,Specialist Hospital A Unit Of Specialist Health Systems Pvt Ltd,Bengaluru North,Bengaluru Urban,"Specialist Hospital A Unit Of Specialist Health Systems Pvt Ltd, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
484,Sagar Hospitals Dsi,Bengaluru North,Bengaluru Urban,"Sagar Hospitals Dsi, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9081399,77.5649351
485,People Tree Hospital,Bengaluru North,Bengaluru Urban,"People Tree Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.098989,77.586104
486,Popular Hospital,Bengaluru North,Bengaluru Urban,"Popular Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9519416,77.5703396
487,Fortis Health Management,Bengaluru North,Bengaluru Urban,"Fortis Health Management, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
488,Aayug Multi Speciality Hospital,Bengaluru North,Bengaluru Urban,"Aayug Multi Speciality Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9190968,77.6382137
489,Chinmaya Mission Hospital,Bengaluru North,Bengaluru Urban,"Chinmaya Mission Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.97843747,77.64170708
490,Shushrutha Nursing Home,Bengaluru North,Bengaluru Urban,"Shushrutha Nursing Home, Bengaluru North, Bengaluru Urban, Karnataka, India",13.0996961,77.598089
491,Aster Cmi Hospital,Bengaluru North,Bengaluru Urban,"Aster Cmi Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.0546,77.5918877
493,Manipal Hospital,Bengaluru North,Bengaluru Urban,"Manipal Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9596847,77.649213
494,Promed Hospital,Bengaluru North,Bengaluru Urban,"Promed Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.0267381,77.6394104
495,Neighbourhood Hospital Pvt Ltd,Bengaluru North,Bengaluru Urban,"Neighbourhood Hospital Pvt Ltd, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8894234,77.5820785
499,Kamadenu Hospitals India Pvt Ltd,Bengaluru North,Bengaluru Urban,"Kamadenu Hospitals India Pvt Ltd, Bengaluru North, Bengaluru Urban, Karnataka, India",12.880792,77.645426
500,Raksh Multispecialty Hospital,Bengaluru North,Bengaluru Urban,"Raksh Multispecialty Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.019597,77.541931
501,Shraddha Healthcare And Nursing Home,Bengaluru North,Bengaluru Urban,"Shraddha Healthcare And Nursing Home, Bengaluru North, Bengaluru Urban, Karnataka, India",13.0207926,77.6191294
502,Mallya Hospital,Bengaluru North,Bengaluru Urban,"Mallya Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9680932,77.5948996
503,Chaithanya Integrateed,Bengaluru North,Bengaluru Urban,"Chaithanya Integrateed, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
504,International Hospital Limited,Bengaluru North,Bengaluru Urban,"International Hospital Limited, Bengaluru North, Bengaluru Urban, Karnataka, India",13.005768,77.571295
505,Chiranjeevi Specialityst S Center,Bengaluru North,Bengaluru Urban,"Chiranjeevi Specialityst S Center, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9176188,77.5970435
506,Gosha Hospital,Bengaluru North,Bengaluru Urban,"Gosha Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.0267381,77.6394104
507,Dr Ramesh Hospital,Bengaluru North,Bengaluru Urban,"Dr Ramesh Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9067767,77.5634331
509,Ankur Hospital,Bengaluru North,Bengaluru Urban,"Ankur Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.0267381,77.6394104
510,Anugrahaa Hospital,Bengaluru North,Bengaluru Urban,"Anugrahaa Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.976755,77.5455834
511,Millann A Unit Of Bacc Healthcare Pvt Ltd,Bengaluru North,Bengaluru Urban,"Millann A Unit Of Bacc Healthcare Pvt Ltd, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9162654,77.5846782
512,Ssnmc Super Speciality Hospital,Bengaluru North,Bengaluru Urban,"Ssnmc Super Speciality Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9263227,77.5209657
514,Pan Nagarabhavi Hospital Pvt Ltd,Bengaluru North,Bengaluru Urban,"Pan Nagarabhavi Hospital Pvt Ltd, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9731811,77.5113754
516,S.K.Hospital,Bengaluru North,Bengaluru Urban,"S.K.Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.0267381,77.6394104
517,Aaxis  Super Speciality Hospital,Bengaluru North,Bengaluru Urban,"Aaxis  Super Speciality Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.070628,77.502344
518,Motherhood Hospital A Unit Of Rhea Healthcare Private Limited,Bengaluru North,Bengaluru Urban,"Motherhood Hospital A Unit Of Rhea Healthcare Private Limited, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
519,Divakars Speciality Hospitals,Bengaluru North,Bengaluru Urban,"Divakars Speciality Hospitals, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9564531,77.5829154
520,Sakhii Hospital,Bengaluru North,Bengaluru Urban,"Sakhii Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.90539818,77.603295
525,Kids Clinic India Pvt Ltd Jayanagar,Bengaluru North,Bengaluru Urban,"Kids Clinic India Pvt Ltd Jayanagar, Bengaluru North, Bengaluru Urban, Karnataka, India",12.924623,77.585391
526,Blossom Fertility Centre And Hospital,Bengaluru North,Bengaluru Urban,"Blossom Fertility Centre And Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
528,Sevakshetra Hospital,Bengaluru North,Bengaluru Urban,"Sevakshetra Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9214581,77.5721711
529,Govt General Hospital,Bengaluru North,Bengaluru Urban,"Govt General Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
530,Nova Medical Centers Pvt Ltd,Bengaluru North,Bengaluru Urban,"Nova Medical Centers Pvt Ltd, Bengaluru North, Bengaluru Urban, Karnataka, India",13.006887,77.583778
532,Kamadhenu Hospital India Pvt Ltd,Bengaluru North,Bengaluru Urban,"Kamadhenu Hospital India Pvt Ltd, Bengaluru North, Bengaluru Urban, Karnataka, India",12.880792,77.645426
537,Roshni Nursing Home,Bengaluru North,Bengaluru Urban,"Roshni Nursing Home, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9452129,77.5998381
538,Vydehi Institute Of Medical Science And Research Center,Bengaluru North,Bengaluru Urban,"Vydehi Institute Of Medical Science And Research Center, Bengaluru North, Bengaluru Urban, Karnataka, India",12.976149,77.728768
540,A V Multispeciality Hospital,Bengaluru North,Bengaluru Urban,"A V Multispeciality Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9190968,77.6382137
541,K C Raju Multi Speciality Hospital,Bengaluru North,Bengaluru Urban,"K C Raju Multi Speciality Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.0093237,77.623708
542,Nu Hospitals Private Limited West,Bengaluru North,Bengaluru Urban,"Nu Hospitals Private Limited West, Bengaluru North, Bengaluru Urban, Karnataka, India",12.990269,77.573099
548,Kusuma Hospital,Bengaluru North,Bengaluru Urban,"Kusuma Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.941988,77.5511585
549,Milann A Unit Of Bacc Healthcare Pvt Ltd,Bengaluru North,Bengaluru Urban,"Milann A Unit Of Bacc Healthcare Pvt Ltd, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9162654,77.5846782
550,Raj Mahal Vilas Hospital,Bengaluru North,Bengaluru Urban,"Raj Mahal Vilas Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.0323637,77.5771296
551,Narayana Super Speciality Hospital,Bengaluru North,Bengaluru Urban,"Narayana Super Speciality Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.008544,77.568473
552,Vydehi Hospital,Bengaluru North,Bengaluru Urban,"Vydehi Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.0267381,77.6394104
553,Genesis Hospital - Unit Of American Hospital,Bengaluru North,Bengaluru Urban,"Genesis Hospital - Unit Of American Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.986711,77.597991
554,Prakriya Hospitals A Unit Of C Square Healthcare Pvt Ltd,Bengaluru North,Bengaluru Urban,"Prakriya Hospitals A Unit Of C Square Healthcare Pvt Ltd, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
556,Zion Hospital And Research Centre Pvt Ltd,Bengaluru North,Bengaluru Urban,"Zion Hospital And Research Centre Pvt Ltd, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9704689,77.5561925
557,Southcityhospital,Bengaluru North,Bengaluru Urban,"Southcityhospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.949803,77.580068
558,Bgs Global Institute Of Medical Sciences And Hospital,Bengaluru North,Bengaluru Urban,"Bgs Global Institute Of Medical Sciences And Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.900087,77.497159
559,Rajiv Gandhi Medical Hospital,Bengaluru North,Bengaluru Urban,"Rajiv Gandhi Medical Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.034355,77.598189
562,Medstar Speciality Hospital,Bengaluru North,Bengaluru Urban,"Medstar Speciality Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.058101,77.585905
563,Sevakshetra Hospital Unit Of Canara Bank Relief And Welfare Society,Bengaluru North,Bengaluru Urban,"Sevakshetra Hospital Unit Of Canara Bank Relief And Welfare Society, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
564,Sharavathi Hospitals Pvt Ltd,Bengaluru North,Bengaluru Urban,"Sharavathi Hospitals Pvt Ltd, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9624603,77.5343687
565,Sakra World Hospital,Bengaluru North,Bengaluru Urban,"Sakra World Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.932276,77.685293
566,Soukya Hospital,Bengaluru North,Bengaluru Urban,"Soukya Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.0774059,77.5586897
570,Ovum Hospital Unit Of Neonatal Care And Research Institute Pvt Ltd,Bengaluru North,Bengaluru Urban,"Ovum Hospital Unit Of Neonatal Care And Research Institute Pvt Ltd, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
574,Columbia Asia Referral Hospitals,Bengaluru North,Bengaluru Urban,"Columbia Asia Referral Hospitals, Bengaluru North, Bengaluru Urban, Karnataka, India",13.014218,77.556555
577,Narayana Hrudayalaya Pvt.Ltd Multispeciality And Oncology Unit,Bengaluru North,Bengaluru Urban,"Narayana Hrudayalaya Pvt.Ltd Multispeciality And Oncology Unit, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
578,Neha Prakash Hospital,Bengaluru North,Bengaluru Urban,"Neha Prakash Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.107833,77.571688
579,Sagar Hospitals Unit Of Healthcare And Diagnostic Services Pvt Ltd.,Bengaluru North,Bengaluru Urban,"Sagar Hospitals Unit Of Healthcare And Diagnostic Services Pvt Ltd., Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
580,Sri Ram Hospital,Bengaluru North,Bengaluru Urban,"Sri Ram Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.961396,77.614665
581,Msr Milann A Unit Of Bacc Healthcare Private Limited,Bengaluru North,Bengaluru Urban,"Msr Milann A Unit Of Bacc Healthcare Private Limited, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9162654,77.5846782
583,Gurushree Hitec H Multispeciality Hoapital,Bengaluru North,Bengaluru Urban,"Gurushree Hitec H Multispeciality Hoapital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.959311,77.526506
584,V Care Hospital,Bengaluru North,Bengaluru Urban,"V Care Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.016177,77.5975429
585,Pushpa Nursing Home,Bengaluru North,Bengaluru Urban,"Pushpa Nursing Home, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9688583,77.7496733
586,Kalahospital 1105 5Th Cross K N Extension Yeshwanthpur Bangalore,Bengaluru North,Bengaluru Urban,"Kalahospital 1105 5Th Cross K N Extension Yeshwanthpur Bangalore, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
591,Gurushree Hi Tech Multi Speciality Hospital,Bengaluru North,Bengaluru Urban,"Gurushree Hi Tech Multi Speciality Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.959311,77.526506
592,New Varalakshmi Hospital,Bengaluru North,Bengaluru Urban,"New Varalakshmi Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9988025,77.5550592
593,Mathrushree Diagnostics And Fertility Center,Bengaluru North,Bengaluru Urban,"Mathrushree Diagnostics And Fertility Center, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
594,Apollo Bangalore Cradle Limited,Bengaluru North,Bengaluru Urban,"Apollo Bangalore Cradle Limited, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
595,Fostr Health Care,Bengaluru North,Bengaluru Urban,"Fostr Health Care, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
596,Lotus Multispeciality Center,Bengaluru North,Bengaluru Urban,"Lotus Multispeciality Center, Bengaluru North, Bengaluru Urban, Karnataka, India",12.9568607,77.7402493
597,Kempegowda Institute Of Medical Sciences And Research Centre,Bengaluru North,Bengaluru Urban,"Kempegowda Institute Of Medical Sciences And Research Centre, Bengaluru North, Bengaluru Urban, Karnataka, India",12.976149,77.728768
598,Sr Sai Hospitals,Bengaluru North,Bengaluru Urban,"Sr Sai Hospitals, Bengaluru North, Bengaluru Urban, Karnataka, India",13.0267381,77.6394104
599,Sushruta Medical Aid And  Research Hospital Limited  The Bangalore Hospital,Bengaluru North,Bengaluru Urban,"Sushruta Medical Aid And  Research Hospital Limited  The Bangalore Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",12.8117615,77.5042934
602,M S Ramaiah Memorial Hospital,Bengaluru North,Bengaluru Urban,"M S Ramaiah Memorial Hospital, Bengaluru North, Bengaluru Urban, Karnataka, India",13.09264,77.5854587
